fice_code|institution|institution_years
012860|Arkansas Northeastern College|2
001091|Arkansas State University at Beebe|2
001090|Arkansas State University at Jonesboro|4
023482|Arkansas State University at Mid-South|2
042544|Arkansas State University at Mountain Home|2
042034|Arkansas State University at Newport|2
001089|Arkansas Tech University|4
020522|Black River Technical College|2
009976|College of the Ouachitas|2
022209|Cossatot Community College of the U A|2
012260|East Arkansas Community College|2
001098|Henderson State University|4
012105|National Park College|2
012261|North Arkansas College|2
030633|Northwest Arkansas Community College|2
020870|Ozarka College|2
001104|Phillips Community College of the U A|2
020746|South Arkansas Community College|2
005707|Southeast Arkansas College|2
001107|Southern Arkansas University at Magnolia|4
007738|Southern Arkansas University at Tech|2
020735|U A Community College at Batesville|2
005732|U A Community College at Hope|2
005245|U A Community College at Morrilton|2
001108|University of Arkansas at Fayetteville|4
001110|University of Arkansas at Fort Smith|4
020753|University of Arkansas at Pulaski Technical College|2
021111|University of Arkansas at Rich Mountain|2
001101|University of Arkansas at Little Rock|4
001085|University of Arkansas at Monticello|4
001086|University of Arkansas at Pine Bluff|4
001109|University of Arkansas for Medical Sciences|4
001092|University of Central Arkansas|4
